province,district,year,prec,tmean
,Muzaffargarh,2030,-1.711712428,1.914302244
,Muzaffargarh,2050,19.84354311,3.156381729
,Rajanpur,2030,-5.124718115,1.769483998
,Rajanpur,2050,21.05405831,2.915143977
,Jhang,2030,5.628598891,2.100132934
,Jhang,2050,40.79468043,3.664268016
,Ghotki,2030,0.283817441,1.8052789
,Ghotki,2050,15.4795131,2.922728632
,Kashmore,2030,0.879178373,1.855260685
,Kashmore,2050,14.05428469,2.977504091
,Dadu,2030,13.47733588,1.942315471
,Dadu,2050,23.05424418,2.769826787
,Tharparkar,2030,17.42706477,1.669281496
,Tharparkar,2050,71.6825497,2.693448235
,Chitral,2030,-3.78865292,2.095398573
,Chitral,2050,-23.85614861,3.656367371
,D.I. Khan,2030,2.06180122,1.950966008
,D.I. Khan,2050,18.90970875,3.265578485
,South Waziristan,2030,-2.984148558,1.885239703
,South Waziristan,2050,-1.789435851,3.100816306
,North Waziristan,2030,-10.36830066,1.935007415
,North Waziristan,2050,-16.66848414,3.188652935
,Orakzai,2030,-32.21692482,1.853500512
,Orakzai,2050,-52.89958461,3.14188722
,Kurram,2030,-37.88803033,1.95060045
,Kurram,2050,-61.72637368,3.262289953
